Activity,Calories_per_kg,Category
"Table tennis, ping pong",0.823235629850746,Mixed
Tai chi,0.823235629850746,Mixed
Playing tennis,1.44133935522388,Mixed
"Tennis, doubles",1.23485344477612,Mixed
"Tennis, singles",1.64782526567164,Mixed
Trampoline,0.721008179104478,Mixed
"Volleyball, competitive",1.64782526567164,Mixed
Playing volleyball,0.61742672238806,Mixed
"Volleyball, beach",1.64782526567164,Mixed
Wrestling,1.23485344477612,Mixed
Wallyball,1.44133935522388,Mixed
"Backpacking, Hiking with pack",1.44133935522388,Mixed
"Carrying infant, level ground",0.721008179104478,Mixed
"Carrying infant, upstairs",1.02972154029851,Cardio
"Carrying 16 to 24 lbs, upstairs",1.23485344477612,Cardio
"Carrying 25 to 49 lbs, upstairs",1.64782526567164,Cardio
"Standing, playing with children, light",0.576806543283582,Mixed
"Walk/run, playing with children, moderate",0.823235629850746,Cardio
"Walk/run, playing with children, vigorous",1.02972154029851,Cardio
Carrying small children,0.61742672238806,Mixed
"Loading, unloading car",0.61742672238806,Mixed
"Climbing hills, carrying up to 9 lbs",1.44133935522388,Mixed
"Climbing hills, carrying 10 to 20 lb",1.5449208119403,Mixed
"Climbing hills, carrying 21 to 42 lb",1.64782526567164,Mixed
"Climbing hills, carrying over 42 lb",1.85295717014925,Mixed
Walking downstairs,0.61742672238806,Cardio
"Hiking, cross country",1.23485344477612,Mixed
Bird watching,0.515199271641791,Mixed
"Marching, rapidly, military",1.33843490149254,Mixed
"Children's games, hopscotch, dodgeball",1.02972154029851,Mixed
Pushing stroller or walking with children,0.515199271641791,Strength
Pushing a wheelchair,0.823235629850746,Strength
Race walking,1.33843490149254,Mixed
"Rock climbing, mountain climbing",1.64782526567164,Mixed
Walking using crutches,1.02972154029851,Mixed
Walking the dog,0.61742672238806,Mixed
"Walking, under 2.0 mph, very slow",0.411617814925373,Mixed
"Walking 2.0 mph, slow",0.515199271641791,Mixed
Walking 2.5 mph,0.61742672238806,Mixed
"Walking 3.0 mph, moderate",0.679710997014925,Mixed
"Walking 3.5 mph, brisk pace",0.782615450746269,Mixed
"Walking 3.5 mph, uphill",1.23485344477612,Mixed
"Walking 4.0 mph, very brisk",1.02972154029851,Mixed
Walking 4.5 mph,1.29713771940299,Mixed
Walking 5.0 mph,1.64782526567164,Mixed
"Boating, power, speed boat",0.515199271641791,Mixed
"Canoeing, camping trip",0.823235629850746,Mixed
"Canoeing, rowing, light",0.61742672238806,Mixed
"Canoeing, rowing, moderate",1.44133935522388,Mixed
"Canoeing, rowing, vigorous",2.47106089552239,Mixed
"Crew, sculling, rowing, competition",2.47106089552239,Mixed
Kayaking,1.02972154029851,Mixed
Paddle boat,0.823235629850746,Mixed
"Windsurfing, sailing",0.61742672238806,Mixed
"Sailing, competition",1.02972154029851,Mixed
"Sailing, yachting, ocean sailing",0.61742672238806,Mixed
"Skiing, water skiing",1.23485344477612,Cardio
Ski mobiling,1.44133935522388,Cardio
"Skin diving, fast",3.29497352835821,Cardio
"Skin diving, moderate",2.57464235223881,Cardio
"Skin diving, scuba diving",1.44133935522388,Cardio
Snorkeling,1.02972154029851,Mixed
"Surfing, body surfing or board surfing",0.61742672238806,Mixed
"Whitewater rafting, kayaking, canoeing",1.02972154029851,Mixed
"Swimming laps, freestyle, fast",2.05944308059702,Cardio
"Swimming laps, freestyle, slow",1.44133935522388,Cardio
Swimming backstroke,1.44133935522388,Cardio
Swimming breaststroke,2.05944308059702,Cardio
Swimming butterfly,2.2652519880597,Cardio
